sample_id,eye_color,hair_color,skin_tone,eye_confidence,hair_confidence,skin_confidence,image_path
SYNTH_000000,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000000.png
SYNTH_000001,intermediate,brown,light,1.0,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000001.png
SYNTH_000002,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000002.png
SYNTH_000003,brown,brown,light,0.47619047619047616,1.0,0.8,./synthetic_facial_data\images\SYNTH_000003.png
SYNTH_000004,intermediate,brown,light,0.5238095238095238,1.0,0.8,./synthetic_facial_data\images\SYNTH_000004.png
SYNTH_000005,intermediate,brown,light,1.0,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000005.png
SYNTH_000006,intermediate,brown,light,0.9285714285714285,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000006.png
SYNTH_000007,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000007.png
SYNTH_000008,intermediate,brown,light,0.5238095238095238,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000008.png
SYNTH_000009,brown,brown,light,0.47619047619047616,1.0,0.8,./synthetic_facial_data\images\SYNTH_000009.png
SYNTH_000010,intermediate,brown,light,0.5238095238095238,1.0,0.8,./synthetic_facial_data\images\SYNTH_000010.png
SYNTH_000011,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000011.png
SYNTH_000012,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000012.png
SYNTH_000013,intermediate,brown,light,0.9285714285714285,1.0,0.8,./synthetic_facial_data\images\SYNTH_000013.png
SYNTH_000014,intermediate,brown,dark,0.5238095238095238,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000014.png
SYNTH_000015,intermediate,brown,light,0.9285714285714285,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000015.png
SYNTH_000016,intermediate,brown,light,0.5238095238095238,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000016.png
SYNTH_000017,brown,brown,light,0.47619047619047616,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000017.png
SYNTH_000018,intermediate,brown,medium,0.5238095238095238,1.0,1.0,./synthetic_facial_data\images\SYNTH_000018.png
SYNTH_000019,intermediate,brown,light,0.9285714285714285,1.0,0.8,./synthetic_facial_data\images\SYNTH_000019.png
SYNTH_000020,intermediate,brown,light,0.5238095238095238,0.8823529411764707,0.8,./synthetic_facial_data\images\SYNTH_000020.png
